entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,score_at_entry,pnl,return_pct,exit_reason
2025-12-07 22:00:00+00:00,2025-12-08 00:00:00+00:00,SHORT,89536.473472,90433.09864799998,0.021533023010740088,2,4.2,-21.6322239094324,-0.011220085852344288,signal
2025-12-08 01:00:00+00:00,2025-12-08 15:00:00+00:00,LONG,90993.866904,90668.08791352736,0.021174485253847956,14,3.2,-9.206161459857698,-0.0047780820637268896,stop
2025-12-08 19:00:00+00:00,2025-12-09 04:00:00+00:00,LONG,90202.86460799999,89696.50921001895,0.021339738998719437,9,2.6,-13.108895443493822,-0.006810149821088595,stop
2025-12-09 05:00:00+00:00,2025-12-09 15:00:00+00:00,SHORT,89839.680712,91119.13579492053,0.021362592829419064,10,6.7,-29.65192768952033,-0.015450081320683911,stop
2025-12-09 16:00:00+00:00,2025-12-09 20:00:00+00:00,LONG,94280.05375199999,92785.97590166258,0.020326108281122933,4,4.7,-32.65018279106177,-0.017037723295692742,stop
2025-12-09 21:00:00+00:00,2025-12-10 14:00:00+00:00,LONG,92721.437856,91609.51509012701,0.020597300526031478,17,3.2,-25.180639390870887,-0.01318488330109045,stop
2025-12-10 15:00:00+00:00,2025-12-11 00:00:00+00:00,LONG,92147.37897599999,91434.6650170169,0.02067092070455318,9,-4.5,-17.009339655663315,-0.008929859910537642,stop
2025-12-11 01:00:00+00:00,2025-12-11 18:00:00+00:00,SHORT,90625.06190399999,90955.07001927114,0.020947040254883205,17,3.2,-9.194833074753173,-0.004843651250579042,stop
2025-12-11 19:00:00+00:00,2025-12-12 15:00:00+00:00,LONG,90926.673192,91079.80146533562,0.020890747126759642,20,-4.5,0.9176132937121415,0.00048307484480894253,stop
2025-12-12 18:00:00+00:00,2025-12-15 01:00:00+00:00,SHORT,90323.743152,89274.12888254868,0.020998606058780567,55,-3.9000000000000004,19.777653579573578,0.010427552195723265,stop
2025-12-15 13:00:00+00:00,2025-12-15 14:00:00+00:00,SHORT,89356.57750399999,89322.980450295,0.02127011933071842,1,-4.4,-1.5657079703230927,-0.0008237858154795016,stop
2025-12-15 15:00:00+00:00,2025-12-16 10:00:00+00:00,SHORT,86958.357616,87300.36727499761,0.02185312864124551,19,-2.6,-9.758840073764851,-0.0051353878589129286,stop
2025-12-16 13:00:00+00:00,2025-12-16 14:00:00+00:00,SHORT,86364.8528,87637.71402174301,0.0219807237234536,1,-3.2,-30.273232262519237,-0.015947028417051454,stop
2025-12-16 15:00:00+00:00,2025-12-16 17:00:00+00:00,LONG,88026.79514399999,87044.298808,0.02153142445481797,2,-3.7,-23.41626365590896,-0.012354635774165294,signal
2025-12-16 18:00:00+00:00,2025-12-17 13:00:00+00:00,SHORT,87700.943072,87761.89075467087,0.021523516097193007,19,-3.2,-3.5777547060495642,-0.0018953659692166217,stop
